normalizedPath,domains,repos,methods,occurrences,coverageCategory,evidence
/product/item/cacheById,product-skc-sku,backend,GET,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/client/MitemDomainClient.java:39
/product/item/calSizeRatioQty,product-skc-sku,backend|admin-v2,POST,2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/controller/MitemController.java:74 | semir-bmall-admin-v2/app/src/services/product.ts:56
/product/item/check/sku,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsController.java:2529 | semir-reabam-admin/src/js/api.js:1559
/product/item/delete,product-skc-sku,admin-v1,POST(default),1,frontend-only,semir-reabam-admin/src/pages/product/service.js:283
/product/item/delete/statistics/count,product-skc-sku,admin-v1,POST(default),1,frontend-only,semir-reabam-admin/src/pages/product/service.js:300
/product/item/deleteCacheByItemIds,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/client/MitemDomainClient.java:78
/product/item/findAllSpecByItemId,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/controller/MitemController.java:99
/product/item/getBmItems,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsController.java:2560
/product/item/getMiddleDropDownBoxList,product-skc-sku,backend|miniapp|admin-v1|admin-v2,POST|POST(default),4,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/controller/MitemController.java:213 | semir-bmall-admin-v2/app/src/services/mdm.ts:42 | semir-reabam-admin/src/service/common.js:31 | semir-reabam-front/public/globalApis.js:242
/product/item/getProductLineDropDownBoxList,product-skc-sku,backend|miniapp|admin-v1|admin-v2,POST|POST(default),4,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/controller/MitemController.java:205 | semir-bmall-admin-v2/app/src/services/mdm.ts:20 | semir-reabam-admin/src/service/common.js:10 | semir-reabam-front/public/globalApis.js:231
/product/item/getSmallDropDownBoxList,product-skc-sku,backend|admin-v2,POST,2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/controller/MitemController.java:221 | semir-bmall-admin-v2/app/src/services/mdm.ts:63
/product/item/group/add,product-skc-sku,backend|admin-v1,POST|POST(default),3,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsGroupController.java:74 | semir-reabam-admin/src/js/api.js:1690 | semir-reabam-admin/src/js/api2.js:1553
/product/item/group/batchAddOrDel,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsGroupController.java:183 | semir-reabam-admin/src/pages/product/service.js:139
/product/item/group/detail,product-skc-sku,backend|admin-v1,POST|POST(default),3,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsGroupController.java:59 | semir-reabam-admin/src/js/api.js:1684 | semir-reabam-admin/src/js/api2.js:1547
/product/item/group/filterRules,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsGroupController.java:103 | semir-reabam-admin/src/js/api.js:315
/product/item/group/item_list,product-skc-sku,backend|admin-v1,POST|POST(default),3,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsGroupController.java:90 | semir-reabam-admin/src/js/api.js:1686 | semir-reabam-admin/src/js/api2.js:1549
/product/item/group/item_list_add,product-skc-sku,backend|admin-v1,POST|POST(default),3,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsGroupController.java:134 | semir-reabam-admin/src/js/api.js:1688 | semir-reabam-admin/src/js/api2.js:1551
/product/item/group/item_list_del,product-skc-sku,backend|admin-v1,POST|POST(default),3,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsGroupController.java:149 | semir-reabam-admin/src/js/api.js:1692 | semir-reabam-admin/src/js/api2.js:1557
/product/item/group/itemListAdd,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsGroupController.java:163 | semir-reabam-admin/src/js/api.js:314
/product/item/group/list,product-skc-sku,backend|admin-v1,POST|POST(default),4,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsGroupController.java:44 | semir-reabam-admin/src/js/api.js:1678 | semir-reabam-admin/src/js/api2.js:1328 | semir-reabam-admin/src/pages/product/service.js:160
/product/item/group/move,product-skc-sku,backend|admin-v1,POST|POST(default),3,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsGroupController.java:119 | semir-reabam-admin/src/js/api.js:1896 | semir-reabam-admin/src/js/api2.js:1555
